image,label,identifier,character,offset,font
./Images/a_57.png,0,a,a,(3 -5),GrutchGrotesk-CondensedLight
./Images/a_58.png,0,a,a,(3 -2),GrutchGrotesk-CondensedLight
./Images/a_59.png,0,a,a,(3 1),GrutchGrotesk-CondensedLight
./Images/a_60.png,0,a,a,(0 -5),Alice and the Wicked Monster
./Images/a_61.png,0,a,a,(0 -2),Alice and the Wicked Monster
./Images/a_62.png,0,a,a,(0 1),Alice and the Wicked Monster
./Images/a_63.png,0,a,a,(3 -5),Alice and the Wicked Monster
./Images/a_64.png,0,a,a,(3 -2),Alice and the Wicked Monster
./Images/a_65.png,0,a,a,(3 1),Alice and the Wicked Monster
./Images/a_66.png,0,a,a,(0 -5),later_on
./Images/a_67.png,0,a,a,(0 -2),later_on
./Images/a_68.png,0,a,a,(0 1),later_on
./Images/a_69.png,0,a,a,(3 -5),later_on
./Images/a_70.png,0,a,a,(3 -2),later_on
./Images/a_71.png,0,a,a,(3 1),later_on
./Images/a_72.png,0,a,a,(0 -5),Buran USSR
./Images/a_73.png,0,a,a,(0 -2),Buran USSR
./Images/a_74.png,0,a,a,(0 1),Buran USSR
./Images/a_75.png,0,a,a,(3 -5),Buran USSR
./Images/a_76.png,0,a,a,(3 -2),Buran USSR
./Images/a_77.png,0,a,a,(3 1),Buran USSR
./Images/a_78.png,0,a,a,(0 -5),Monotoon KK
./Images/a_79.png,0,a,a,(0 -2),Monotoon KK
./Images/a_80.png,0,a,a,(0 1),Monotoon KK
./Images/a_81.png,0,a,a,(3 -5),Monotoon KK
./Images/a_82.png,0,a,a,(3 -2),Monotoon KK
./Images/a_83.png,0,a,a,(3 1),Monotoon KK
./Images/a_84.png,0,a,a,(0 -5),Tall Film Oblique
./Images/a_85.png,0,a,a,(0 -2),Tall Film Oblique
./Images/a_86.png,0,a,a,(0 1),Tall Film Oblique
./Images/a_87.png,0,a,a,(3 -5),Tall Film Oblique
./Images/a_88.png,0,a,a,(3 -2),Tall Film Oblique
./Images/a_89.png,0,a,a,(3 1),Tall Film Oblique
./Images/a_90.png,0,a,a,(0 -5),Times New Roman Bold Italic
./Images/a_91.png,0,a,a,(0 -2),Times New Roman Bold Italic
./Images/a_92.png,0,a,a,(0 1),Times New Roman Bold Italic
./Images/a_93.png,0,a,a,(3 -5),Times New Roman Bold Italic
./Images/a_94.png,0,a,a,(3 -2),Times New Roman Bold Italic
./Images/a_95.png,0,a,a,(3 1),Times New Roman Bold Italic
./Images/a_96.png,0,a,a,(0 -5),Silom
./Images/a_97.png,0,a,a,(0 -2),Silom
./Images/a_98.png,0,a,a,(0 1),Silom
./Images/a_99.png,0,a,a,(3 -5),Silom
./Images/a_100.png,0,a,a,(3 -2),Silom
./Images/a_101.png,0,a,a,(3 1),Silom
./Images/a_102.png,0,a,a,(0 -5),SF Willamette
./Images/a_103.png,0,a,a,(0 -2),SF Willamette
./Images/a_104.png,0,a,a,(0 1),SF Willamette
./Images/a_105.png,0,a,a,(3 -5),SF Willamette
./Images/a_106.png,0,a,a,(3 -2),SF Willamette
./Images/a_107.png,0,a,a,(3 1),SF Willamette
./Images/a_108.png,0,a,a,(0 -5),lucid
./Images/a_109.png,0,a,a,(0 -2),lucid
./Images/a_110.png,0,a,a,(0 1),lucid
./Images/a_111.png,0,a,a,(3 -5),lucid
./Images/a_112.png,0,a,a,(3 -2),lucid
./Images/a_113.png,0,a,a,(3 1),lucid
./Images/a_114.png,0,a,a,(0 -5),arialbd
./Images/a_115.png,0,a,a,(0 -2),arialbd
./Images/a_116.png,0,a,a,(0 1),arialbd
./Images/a_117.png,0,a,a,(3 -5),arialbd
./Images/a_118.png,0,a,a,(3 -2),arialbd
./Images/a_119.png,0,a,a,(3 1),arialbd
./Images/a_120.png,0,a,a,(0 -5),Verdana Italic
./Images/a_121.png,0,a,a,(0 -2),Verdana Italic
./Images/a_122.png,0,a,a,(0 1),Verdana Italic
./Images/a_123.png,0,a,a,(3 -5),Verdana Italic
./Images/a_124.png,0,a,a,(3 -2),Verdana Italic
./Images/a_125.png,0,a,a,(3 1),Verdana Italic
./Images/a_126.png,0,a,a,(0 -5),OpenSans-Semibold
./Images/a_127.png,0,a,a,(0 -2),OpenSans-Semibold
./Images/a_128.png,0,a,a,(0 1),OpenSans-Semibold
./Images/a_129.png,0,a,a,(3 -5),OpenSans-Semibold
./Images/a_130.png,0,a,a,(3 -2),OpenSans-Semibold
./Images/a_131.png,0,a,a,(3 1),OpenSans-Semibold
./Images/a_132.png,0,a,a,(0 -5),Times New Roman Italic
./Images/a_133.png,0,a,a,(0 -2),Times New Roman Italic
./Images/a_134.png,0,a,a,(0 1),Times New Roman Italic
./Images/a_135.png,0,a,a,(3 -5),Times New Roman Italic
./Images/a_136.png,0,a,a,(3 -2),Times New Roman Italic
./Images/a_137.png,0,a,a,(3 1),Times New Roman Italic
./Images/a_138.png,0,a,a,(0 -5),InaiMathi
./Images/a_139.png,0,a,a,(0 -2),InaiMathi
./Images/a_140.png,0,a,a,(0 1),InaiMathi
./Images/a_141.png,0,a,a,(3 -5),InaiMathi
./Images/a_142.png,0,a,a,(3 -2),InaiMathi
./Images/a_143.png,0,a,a,(3 1),InaiMathi
./Images/a_144.png,0,a,a,(0 -5),Bradley Hand Bold
./Images/a_145.png,0,a,a,(0 -2),Bradley Hand Bold
./Images/a_146.png,0,a,a,(0 1),Bradley Hand Bold
./Images/a_147.png,0,a,a,(3 -5),Bradley Hand Bold
./Images/a_148.png,0,a,a,(3 -2),Bradley Hand Bold
./Images/a_149.png,0,a,a,(3 1),Bradley Hand Bold
./Images/a_150.png,0,a,a,(0 -5),AnkeHand
./Images/a_151.png,0,a,a,(0 -2),AnkeHand
./Images/a_152.png,0,a,a,(0 1),AnkeHand
./Images/a_153.png,0,a,a,(3 -5),AnkeHand
./Images/a_154.png,0,a,a,(3 -2),AnkeHand
./Images/a_155.png,0,a,a,(3 1),AnkeHand
./Images/a_156.png,0,a,a,(0 -5),Arial Narrow Italic
./Images/a_157.png,0,a,a,(0 -2),Arial Narrow Italic
./Images/a_158.png,0,a,a,(0 1),Arial Narrow Italic
./Images/a_159.png,0,a,a,(3 -5),Arial Narrow Italic
./Images/a_160.png,0,a,a,(3 -2),Arial Narrow Italic
./Images/a_161.png,0,a,a,(3 1),Arial Narrow Italic
./Images/a_162.png,0,a,a,(0 -5),Tall Film
./Images/a_163.png,0,a,a,(0 -2),Tall Film
./Images/a_164.png,0,a,a,(0 1),Tall Film
./Images/a_165.png,0,a,a,(3 -5),Tall Film
./Images/a_166.png,0,a,a,(3 -2),Tall Film
./Images/a_167.png,0,a,a,(3 1),Tall Film
./Images/a_168.png,0,a,a,(0 -5),criticized
./Images/a_169.png,0,a,a,(0 -2),criticized
./Images/a_170.png,0,a,a,(0 1),criticized
./Images/a_171.png,0,a,a,(3 -5),criticized
./Images/a_172.png,0,a,a,(3 -2),criticized
./Images/a_173.png,0,a,a,(3 1),criticized
./Images/a_174.png,0,a,a,(0 -5),AppleGothic
./Images/a_175.png,0,a,a,(0 -2),AppleGothic
./Images/a_176.png,0,a,a,(0 1),AppleGothic
./Images/a_177.png,0,a,a,(3 -5),AppleGothic
./Images/a_178.png,0,a,a,(3 -2),AppleGothic
./Images/a_179.png,0,a,a,(3 1),AppleGothic
./Images/a_180.png,0,a,a,(0 -5),DIN Condensed Bold
./Images/a_181.png,0,a,a,(0 -2),DIN Condensed Bold
./Images/a_182.png,0,a,a,(0 1),DIN Condensed Bold
./Images/a_183.png,0,a,a,(3 -5),DIN Condensed Bold
./Images/a_184.png,0,a,a,(3 -2),DIN Condensed Bold
./Images/a_185.png,0,a,a,(3 1),DIN Condensed Bold
./Images/a_186.png,0,a,a,(0 -5),Mouser
./Images/a_187.png,0,a,a,(0 -2),Mouser
./Images/a_188.png,0,a,a,(0 1),Mouser
./Images/a_189.png,0,a,a,(3 -5),Mouser
./Images/a_190.png,0,a,a,(3 -2),Mouser
./Images/a_191.png,0,a,a,(3 1),Mouser
./Images/a_192.png,0,a,a,(0 -5),Arial Bold
./Images/a_193.png,0,a,a,(0 -2),Arial Bold
./Images/a_194.png,0,a,a,(0 1),Arial Bold
./Images/a_195.png,0,a,a,(3 -5),Arial Bold
./Images/a_196.png,0,a,a,(3 -2),Arial Bold
./Images/a_197.png,0,a,a,(3 1),Arial Bold
./Images/a_198.png,0,a,a,(0 -5),8bitlim
./Images/a_199.png,0,a,a,(0 -2),8bitlim
./Images/a_200.png,0,a,a,(0 1),8bitlim
./Images/a_201.png,0,a,a,(3 -5),8bitlim
./Images/a_202.png,0,a,a,(3 -2),8bitlim
./Images/a_203.png,0,a,a,(3 1),8bitlim
./Images/a_204.png,0,a,a,(0 -5),Backpack_PersonalUse
./Images/a_205.png,0,a,a,(0 -2),Backpack_PersonalUse
./Images/a_206.png,0,a,a,(0 1),Backpack_PersonalUse
./Images/a_207.png,0,a,a,(3 -5),Backpack_PersonalUse
./Images/a_208.png,0,a,a,(3 -2),Backpack_PersonalUse
./Images/a_209.png,0,a,a,(3 1),Backpack_PersonalUse
./Images/a_210.png,0,a,a,(0 -5),ratio___
./Images/a_211.png,0,a,a,(0 -2),ratio___
./Images/a_212.png,0,a,a,(0 1),ratio___
./Images/a_213.png,0,a,a,(3 -5),ratio___
./Images/a_214.png,0,a,a,(3 -2),ratio___
./Images/a_215.png,0,a,a,(3 1),ratio___
./Images/a_216.png,0,a,a,(0 -5),HoneyScript-SemiBold
./Images/a_217.png,0,a,a,(0 -2),HoneyScript-SemiBold
./Images/a_218.png,0,a,a,(0 1),HoneyScript-SemiBold
./Images/a_219.png,0,a,a,(3 -5),HoneyScript-SemiBold
./Images/a_220.png,0,a,a,(3 -2),HoneyScript-SemiBold
./Images/a_221.png,0,a,a,(3 1),HoneyScript-SemiBold
./Images/a_222.png,0,a,a,(0 -5),Trebuchet MS
./Images/a_223.png,0,a,a,(0 -2),Trebuchet MS
./Images/a_224.png,0,a,a,(0 1),Trebuchet MS
./Images/a_225.png,0,a,a,(3 -5),Trebuchet MS
./Images/a_226.png,0,a,a,(3 -2),Trebuchet MS
./Images/a_227.png,0,a,a,(3 1),Trebuchet MS
./Images/a_228.png,0,a,a,(0 -5),libelsuit
./Images/a_229.png,0,a,a,(0 -2),libelsuit
./Images/a_230.png,0,a,a,(0 1),libelsuit
./Images/a_231.png,0,a,a,(3 -5),libelsuit
./Images/a_232.png,0,a,a,(3 -2),libelsuit
./Images/a_233.png,0,a,a,(3 1),libelsuit
./Images/a_234.png,0,a,a,(0 -5),bluebold
./Images/a_235.png,0,a,a,(0 -2),bluebold
./Images/a_236.png,0,a,a,(0 1),bluebold
./Images/a_237.png,0,a,a,(3 -5),bluebold
./Images/a_238.png,0,a,a,(3 -2),bluebold
./Images/a_239.png,0,a,a,(3 1),bluebold
./Images/a_240.png,0,a,a,(0 -5),Righteous-Regular
./Images/a_241.png,0,a,a,(0 -2),Righteous-Regular
./Images/a_242.png,0,a,a,(0 1),Righteous-Regular
./Images/a_243.png,0,a,a,(3 -5),Righteous-Regular
./Images/a_244.png,0,a,a,(3 -2),Righteous-Regular
./Images/a_245.png,0,a,a,(3 1),Righteous-Regular
./Images/a_246.png,0,a,a,(0 -5),corbel
./Images/a_247.png,0,a,a,(0 -2),corbel
./Images/a_248.png,0,a,a,(0 1),corbel
./Images/a_249.png,0,a,a,(3 -5),corbel
./Images/a_250.png,0,a,a,(3 -2),corbel
./Images/a_251.png,0,a,a,(3 1),corbel
./Images/a_252.png,0,a,a,(0 -5),Trattatello
./Images/a_253.png,0,a,a,(0 -2),Trattatello
./Images/a_254.png,0,a,a,(0 1),Trattatello
./Images/a_255.png,0,a,a,(3 -5),Trattatello
./Images/a_256.png,0,a,a,(3 -2),Trattatello
./Images/a_257.png,0,a,a,(3 1),Trattatello
./Images/a_258.png,0,a,a,(0 -5),BigCaslon
./Images/a_259.png,0,a,a,(0 -2),BigCaslon
./Images/a_260.png,0,a,a,(0 1),BigCaslon
./Images/a_261.png,0,a,a,(3 -5),BigCaslon
./Images/a_262.png,0,a,a,(3 -2),BigCaslon
./Images/a_263.png,0,a,a,(3 1),BigCaslon
./Images/a_264.png,0,a,a,(0 -5),Courier New Bold
./Images/a_265.png,0,a,a,(0 -2),Courier New Bold
./Images/a_266.png,0,a,a,(0 1),Courier New Bold
./Images/a_267.png,0,a,a,(3 -5),Courier New Bold
./Images/a_268.png,0,a,a,(3 -2),Courier New Bold
./Images/a_269.png,0,a,a,(3 1),Courier New Bold
./Images/a_270.png,0,a,a,(0 -5),Aileenation
./Images/a_271.png,0,a,a,(0 -2),Aileenation
./Images/a_272.png,0,a,a,(0 1),Aileenation
./Images/a_273.png,0,a,a,(3 -5),Aileenation
./Images/a_274.png,0,a,a,(3 -2),Aileenation
./Images/a_275.png,0,a,a,(3 1),Aileenation
./Images/a_276.png,0,a,a,(0 -5),pakenham
./Images/a_277.png,0,a,a,(0 -2),pakenham
./Images/a_278.png,0,a,a,(0 1),pakenham
./Images/a_279.png,0,a,a,(3 -5),pakenham
./Images/a_280.png,0,a,a,(3 -2),pakenham
./Images/a_281.png,0,a,a,(3 1),pakenham
./Images/a_282.png,0,a,a,(0 -5),Tall Films Expanded Oblique
./Images/a_283.png,0,a,a,(0 -2),Tall Films Expanded Oblique
./Images/a_284.png,0,a,a,(0 1),Tall Films Expanded Oblique
./Images/a_285.png,0,a,a,(3 -5),Tall Films Expanded Oblique
./Images/a_286.png,0,a,a,(3 -2),Tall Films Expanded Oblique
./Images/a_287.png,0,a,a,(3 1),Tall Films Expanded Oblique
./Images/a_288.png,0,a,a,(0 -5),Copper Canyon WBW
./Images/a_289.png,0,a,a,(0 -2),Copper Canyon WBW
./Images/a_290.png,0,a,a,(0 1),Copper Canyon WBW
./Images/a_291.png,0,a,a,(3 -5),Copper Canyon WBW
./Images/a_292.png,0,a,a,(3 -2),Copper Canyon WBW
./Images/a_293.png,0,a,a,(3 1),Copper Canyon WBW
./Images/a_294.png,0,a,a,(0 -5),Harabara
./Images/a_295.png,0,a,a,(0 -2),Harabara
./Images/a_296.png,0,a,a,(0 1),Harabara
./Images/a_297.png,0,a,a,(3 -5),Harabara
./Images/a_298.png,0,a,a,(3 -2),Harabara
./Images/a_299.png,0,a,a,(3 1),Harabara
./Images/a_300.png,0,a,a,(0 -5),verdanab
./Images/a_301.png,0,a,a,(0 -2),verdanab
./Images/a_302.png,0,a,a,(0 1),verdanab
./Images/a_303.png,0,a,a,(3 -5),verdanab
./Images/a_304.png,0,a,a,(3 -2),verdanab
./Images/a_305.png,0,a,a,(3 1),verdanab
./Images/a_306.png,0,a,a,(0 -5),webster
./Images/a_307.png,0,a,a,(0 -2),webster
./Images/a_308.png,0,a,a,(0 1),webster
./Images/a_309.png,0,a,a,(3 -5),webster
./Images/a_310.png,0,a,a,(3 -2),webster
./Images/a_311.png,0,a,a,(3 1),webster
./Images/a_312.png,0,a,a,(0 -5),Aliquamulti
./Images/a_313.png,0,a,a,(0 -2),Aliquamulti
./Images/a_314.png,0,a,a,(0 1),Aliquamulti
./Images/a_315.png,0,a,a,(3 -5),Aliquamulti
./Images/a_316.png,0,a,a,(3 -2),Aliquamulti
./Images/a_317.png,0,a,a,(3 1),Aliquamulti
./Images/a_318.png,0,a,a,(0 -5),Gotham Nights
./Images/a_319.png,0,a,a,(0 -2),Gotham Nights
./Images/a_320.png,0,a,a,(0 1),Gotham Nights
./Images/a_321.png,0,a,a,(3 -5),Gotham Nights
./Images/a_322.png,0,a,a,(3 -2),Gotham Nights
./Images/a_323.png,0,a,a,(3 1),Gotham Nights
./Images/a_324.png,0,a,a,(0 -5),Deadly Inked
./Images/a_325.png,0,a,a,(0 -2),Deadly Inked
./Images/a_326.png,0,a,a,(0 1),Deadly Inked
./Images/a_327.png,0,a,a,(3 -5),Deadly Inked
./Images/a_328.png,0,a,a,(3 -2),Deadly Inked
./Images/a_329.png,0,a,a,(3 1),Deadly Inked
./Images/a_330.png,0,a,a,(0 -5),Lao Sangam MN
./Images/a_331.png,0,a,a,(0 -2),Lao Sangam MN
./Images/a_332.png,0,a,a,(0 1),Lao Sangam MN
./Images/a_333.png,0,a,a,(3 -5),Lao Sangam MN
./Images/a_334.png,0,a,a,(3 -2),Lao Sangam MN
./Images/a_335.png,0,a,a,(3 1),Lao Sangam MN
./Images/a_336.png,0,a,a,(0 -5),Luminari
./Images/a_337.png,0,a,a,(0 -2),Luminari
./Images/a_338.png,0,a,a,(0 1),Luminari
./Images/a_339.png,0,a,a,(3 -5),Luminari
./Images/a_340.png,0,a,a,(3 -2),Luminari
./Images/a_341.png,0,a,a,(3 1),Luminari
./Images/a_342.png,0,a,a,(0 -5),Times New Roman
./Images/a_343.png,0,a,a,(0 -2),Times New Roman
./Images/a_344.png,0,a,a,(0 1),Times New Roman
./Images/a_345.png,0,a,a,(3 -5),Times New Roman
./Images/a_346.png,0,a,a,(3 -2),Times New Roman
./Images/a_347.png,0,a,a,(3 1),Times New Roman
./Images/a_348.png,0,a,a,(0 -5),Brush Script
./Images/a_349.png,0,a,a,(0 -2),Brush Script
./Images/a_350.png,0,a,a,(0 1),Brush Script
./Images/a_351.png,0,a,a,(3 -5),Brush Script
./Images/a_352.png,0,a,a,(3 -2),Brush Script
./Images/a_353.png,0,a,a,(3 1),Brush Script
./Images/a_354.png,0,a,a,(0 -5),Georgia Italic
./Images/a_355.png,0,a,a,(0 -2),Georgia Italic
./Images/a_356.png,0,a,a,(0 1),Georgia Italic
./Images/a_357.png,0,a,a,(3 -5),Georgia Italic
./Images/a_358.png,0,a,a,(3 -2),Georgia Italic
./Images/a_359.png,0,a,a,(3 1),Georgia Italic
./Images/a_360.png,0,a,a,(0 -5),Courier New Italic
./Images/a_361.png,0,a,a,(0 -2),Courier New Italic
./Images/a_362.png,0,a,a,(0 1),Courier New Italic
./Images/a_363.png,0,a,a,(3 -5),Courier New Italic
./Images/a_364.png,0,a,a,(3 -2),Courier New Italic
./Images/a_365.png,0,a,a,(3 1),Courier New Italic
./Images/a_366.png,0,a,a,(0 -5),Arial Unicode
./Images/a_367.png,0,a,a,(0 -2),Arial Unicode
./Images/a_368.png,0,a,a,(0 1),Arial Unicode
./Images/a_369.png,0,a,a,(3 -5),Arial Unicode
./Images/a_370.png,0,a,a,(3 -2),Arial Unicode
./Images/a_371.png,0,a,a,(3 1),Arial Unicode
./Images/a_372.png,0,a,a,(0 -5),Slimania Bold
./Images/a_373.png,0,a,a,(0 -2),Slimania Bold
./Images/a_374.png,0,a,a,(0 1),Slimania Bold
./Images/a_375.png,0,a,a,(3 -5),Slimania Bold
./Images/a_376.png,0,a,a,(3 -2),Slimania Bold
./Images/a_377.png,0,a,a,(3 1),Slimania Bold
./Images/a_378.png,0,a,a,(0 -5),Chalkduster
./Images/a_379.png,0,a,a,(0 -2),Chalkduster
./Images/a_380.png,0,a,a,(0 1),Chalkduster
./Images/a_381.png,0,a,a,(3 -5),Chalkduster
./Images/a_382.png,0,a,a,(3 -2),Chalkduster
./Images/a_383.png,0,a,a,(3 1),Chalkduster
./Images/a_384.png,0,a,a,(0 -5),Apple Chancery
./Images/a_385.png,0,a,a,(0 -2),Apple Chancery
./Images/a_386.png,0,a,a,(0 1),Apple Chancery
./Images/a_387.png,0,a,a,(3 -5),Apple Chancery
./Images/a_388.png,0,a,a,(3 -2),Apple Chancery
./Images/a_389.png,0,a,a,(3 1),Apple Chancery
./Images/a_390.png,0,a,a,(0 -5),AppleMyungjo
./Images/a_391.png,0,a,a,(0 -2),AppleMyungjo
./Images/a_392.png,0,a,a,(0 1),AppleMyungjo
./Images/a_393.png,0,a,a,(3 -5),AppleMyungjo
./Images/a_394.png,0,a,a,(3 -2),AppleMyungjo
./Images/a_395.png,0,a,a,(3 1),AppleMyungjo
./Images/a_396.png,0,a,a,(0 -5),yonder
./Images/a_397.png,0,a,a,(0 -2),yonder
./Images/a_398.png,0,a,a,(0 1),yonder
./Images/a_399.png,0,a,a,(3 -5),yonder
./Images/a_400.png,0,a,a,(3 -2),yonder
./Images/a_401.png,0,a,a,(3 1),yonder
./Images/a_402.png,0,a,a,(0 -5),corbelb
./Images/a_403.png,0,a,a,(0 -2),corbelb
./Images/a_404.png,0,a,a,(0 1),corbelb
./Images/a_405.png,0,a,a,(3 -5),corbelb
./Images/a_406.png,0,a,a,(3 -2),corbelb
./Images/a_407.png,0,a,a,(3 1),corbelb
./Images/a_408.png,0,a,a,(0 -5),zephyrea
./Images/a_409.png,0,a,a,(0 -2),zephyrea
./Images/a_410.png,0,a,a,(0 1),zephyrea
./Images/a_411.png,0,a,a,(3 -5),zephyrea
./Images/a_412.png,0,a,a,(3 -2),zephyrea
./Images/a_413.png,0,a,a,(3 1),zephyrea
./Images/a_414.png,0,a,a,(0 -5),SF Old Republic Bold
./Images/a_415.png,0,a,a,(0 -2),SF Old Republic Bold
./Images/a_416.png,0,a,a,(0 1),SF Old Republic Bold
./Images/a_417.png,0,a,a,(3 -5),SF Old Republic Bold
./Images/a_418.png,0,a,a,(3 -2),SF Old Republic Bold
./Images/a_419.png,0,a,a,(3 1),SF Old Republic Bold
./Images/a_420.png,0,a,a,(0 -5),MankSans-Medium
./Images/a_421.png,0,a,a,(0 -2),MankSans-Medium
./Images/a_422.png,0,a,a,(0 1),MankSans-Medium
./Images/a_423.png,0,a,a,(3 -5),MankSans-Medium
./Images/a_424.png,0,a,a,(3 -2),MankSans-Medium
./Images/a_425.png,0,a,a,(3 1),MankSans-Medium
./Images/a_426.png,0,a,a,(0 -5),Aliquam
./Images/a_427.png,0,a,a,(0 -2),Aliquam
./Images/a_428.png,0,a,a,(0 1),Aliquam
./Images/a_429.png,0,a,a,(3 -5),Aliquam
./Images/a_430.png,0,a,a,(3 -2),Aliquam
./Images/a_431.png,0,a,a,(3 1),Aliquam
./Images/a_432.png,0,a,a,(0 -5),Arial Narrow Bold Italic
./Images/a_433.png,0,a,a,(0 -2),Arial Narrow Bold Italic
./Images/a_434.png,0,a,a,(0 1),Arial Narrow Bold Italic
./Images/a_435.png,0,a,a,(3 -5),Arial Narrow Bold Italic
./Images/a_436.png,0,a,a,(3 -2),Arial Narrow Bold Italic
./Images/a_437.png,0,a,a,(3 1),Arial Narrow Bold Italic
./Images/a_438.png,0,a,a,(0 -5),medra___
./Images/a_439.png,0,a,a,(0 -2),medra___
./Images/a_440.png,0,a,a,(0 1),medra___
./Images/a_441.png,0,a,a,(3 -5),medra___
./Images/a_442.png,0,a,a,(3 -2),medra___
./Images/a_443.png,0,a,a,(3 1),medra___
./Images/a_444.png,0,a,a,(0 -5),seriously
./Images/a_445.png,0,a,a,(0 -2),seriously
./Images/a_446.png,0,a,a,(0 1),seriously
./Images/a_447.png,0,a,a,(3 -5),seriously
./Images/a_448.png,0,a,a,(3 -2),seriously
./Images/a_449.png,0,a,a,(3 1),seriously
./Images/a_450.png,0,a,a,(0 -5),bluecond
./Images/a_451.png,0,a,a,(0 -2),bluecond
./Images/a_452.png,0,a,a,(0 1),bluecond
./Images/a_453.png,0,a,a,(3 -5),bluecond
./Images/a_454.png,0,a,a,(3 -2),bluecond
./Images/a_455.png,0,a,a,(3 1),bluecond
./Images/a_456.png,0,a,a,(0 -5),updik___
./Images/a_457.png,0,a,a,(0 -2),updik___
./Images/a_458.png,0,a,a,(0 1),updik___
./Images/a_459.png,0,a,a,(3 -5),updik___
./Images/a_460.png,0,a,a,(3 -2),updik___
./Images/a_461.png,0,a,a,(3 1),updik___
./Images/a_462.png,0,a,a,(0 -5),Slim Extreme
./Images/a_463.png,0,a,a,(0 -2),Slim Extreme
./Images/a_464.png,0,a,a,(0 1),Slim Extreme
./Images/a_465.png,0,a,a,(3 -5),Slim Extreme
./Images/a_466.png,0,a,a,(3 -2),Slim Extreme
./Images/a_467.png,0,a,a,(3 1),Slim Extreme
./Images/a_468.png,0,a,a,(0 -5),Arial Narrow
./Images/a_469.png,0,a,a,(0 -2),Arial Narrow
./Images/a_470.png,0,a,a,(0 1),Arial Narrow
./Images/a_471.png,0,a,a,(3 -5),Arial Narrow
./Images/a_472.png,0,a,a,(3 -2),Arial Narrow
./Images/a_473.png,0,a,a,(3 1),Arial Narrow
