,image,label,identifier,character,offset,font,prediction
106,./Images/a_106.png,0,a,a,(3 -2),SF Willamette,a
107,./Images/a_107.png,0,a,a,(3 1),SF Willamette,a
108,./Images/a_108.png,0,a,a,(0 -5),lucid,a
109,./Images/a_109.png,0,a,a,(0 -2),lucid,a
110,./Images/a_110.png,0,a,a,(0 1),lucid,a
111,./Images/a_111.png,0,a,a,(3 -5),lucid,a
112,./Images/a_112.png,0,a,a,(3 -2),lucid,a
113,./Images/a_113.png,0,a,a,(3 1),lucid,a
114,./Images/a_114.png,0,a,a,(0 -5),arialbd,a
115,./Images/a_115.png,0,a,a,(0 -2),arialbd,a
116,./Images/a_116.png,0,a,a,(0 1),arialbd,a
117,./Images/a_117.png,0,a,a,(3 -5),arialbd,a
118,./Images/a_118.png,0,a,a,(3 -2),arialbd,a
119,./Images/a_119.png,0,a,a,(3 1),arialbd,a
120,./Images/a_120.png,0,a,a,(0 -5),Verdana Italic,a
121,./Images/a_121.png,0,a,a,(0 -2),Verdana Italic,a
122,./Images/a_122.png,0,a,a,(0 1),Verdana Italic,a
123,./Images/a_123.png,0,a,a,(3 -5),Verdana Italic,a
124,./Images/a_124.png,0,a,a,(3 -2),Verdana Italic,a
125,./Images/a_125.png,0,a,a,(3 1),Verdana Italic,a
126,./Images/a_126.png,0,a,a,(0 -5),OpenSans-Semibold,a
127,./Images/a_127.png,0,a,a,(0 -2),OpenSans-Semibold,a
128,./Images/a_128.png,0,a,a,(0 1),OpenSans-Semibold,a
129,./Images/a_129.png,0,a,a,(3 -5),OpenSans-Semibold,a
130,./Images/a_130.png,0,a,a,(3 -2),OpenSans-Semibold,a
131,./Images/a_131.png,0,a,a,(3 1),OpenSans-Semibold,a
132,./Images/a_132.png,0,a,a,(0 -5),Times New Roman Italic,a
133,./Images/a_133.png,0,a,a,(0 -2),Times New Roman Italic,a
134,./Images/a_134.png,0,a,a,(0 1),Times New Roman Italic,a
135,./Images/a_135.png,0,a,a,(3 -5),Times New Roman Italic,a
136,./Images/a_136.png,0,a,a,(3 -2),Times New Roman Italic,a
137,./Images/a_137.png,0,a,a,(3 1),Times New Roman Italic,a
138,./Images/a_138.png,0,a,a,(0 -5),InaiMathi,a
139,./Images/a_139.png,0,a,a,(0 -2),InaiMathi,a
140,./Images/a_140.png,0,a,a,(0 1),InaiMathi,a
141,./Images/a_141.png,0,a,a,(3 -5),InaiMathi,a
142,./Images/a_142.png,0,a,a,(3 -2),InaiMathi,a
143,./Images/a_143.png,0,a,a,(3 1),InaiMathi,a
144,./Images/a_144.png,0,a,a,(0 -5),Bradley Hand Bold,a
145,./Images/a_145.png,0,a,a,(0 -2),Bradley Hand Bold,a
146,./Images/a_146.png,0,a,a,(0 1),Bradley Hand Bold,a
147,./Images/a_147.png,0,a,a,(3 -5),Bradley Hand Bold,n
148,./Images/a_148.png,0,a,a,(3 -2),Bradley Hand Bold,a
149,./Images/a_149.png,0,a,a,(3 1),Bradley Hand Bold,a
150,./Images/a_150.png,0,a,a,(0 -5),AnkeHand,o
151,./Images/a_151.png,0,a,a,(0 -2),AnkeHand,a
152,./Images/a_152.png,0,a,a,(0 1),AnkeHand,o
153,./Images/a_153.png,0,a,a,(3 -5),AnkeHand,o
154,./Images/a_154.png,0,a,a,(3 -2),AnkeHand,o
155,./Images/a_155.png,0,a,a,(3 1),AnkeHand,o
156,./Images/a_156.png,0,a,a,(0 -5),Arial Narrow Italic,a
157,./Images/a_157.png,0,a,a,(0 -2),Arial Narrow Italic,a
158,./Images/a_158.png,0,a,a,(0 1),Arial Narrow Italic,a
159,./Images/a_159.png,0,a,a,(3 -5),Arial Narrow Italic,a
160,./Images/a_160.png,0,a,a,(3 -2),Arial Narrow Italic,a
161,./Images/a_161.png,0,a,a,(3 1),Arial Narrow Italic,a
162,./Images/a_162.png,0,a,a,(0 -5),Tall Film,a
163,./Images/a_163.png,0,a,a,(0 -2),Tall Film,a
164,./Images/a_164.png,0,a,a,(0 1),Tall Film,a
165,./Images/a_165.png,0,a,a,(3 -5),Tall Film,a
166,./Images/a_166.png,0,a,a,(3 -2),Tall Film,a
167,./Images/a_167.png,0,a,a,(3 1),Tall Film,a
168,./Images/a_168.png,0,a,a,(0 -5),criticized,a
169,./Images/a_169.png,0,a,a,(0 -2),criticized,a
170,./Images/a_170.png,0,a,a,(0 1),criticized,a
171,./Images/a_171.png,0,a,a,(3 -5),criticized,o
172,./Images/a_172.png,0,a,a,(3 -2),criticized,o
173,./Images/a_173.png,0,a,a,(3 1),criticized,o
174,./Images/a_174.png,0,a,a,(0 -5),AppleGothic,a
175,./Images/a_175.png,0,a,a,(0 -2),AppleGothic,a
176,./Images/a_176.png,0,a,a,(0 1),AppleGothic,a
177,./Images/a_177.png,0,a,a,(3 -5),AppleGothic,a
178,./Images/a_178.png,0,a,a,(3 -2),AppleGothic,a
179,./Images/a_179.png,0,a,a,(3 1),AppleGothic,a
180,./Images/a_180.png,0,a,a,(0 -5),DIN Condensed Bold,a
181,./Images/a_181.png,0,a,a,(0 -2),DIN Condensed Bold,a
182,./Images/a_182.png,0,a,a,(0 1),DIN Condensed Bold,a
183,./Images/a_183.png,0,a,a,(3 -5),DIN Condensed Bold,a
184,./Images/a_184.png,0,a,a,(3 -2),DIN Condensed Bold,a
185,./Images/a_185.png,0,a,a,(3 1),DIN Condensed Bold,a
186,./Images/a_186.png,0,a,a,(0 -5),Mouser,a
187,./Images/a_187.png,0,a,a,(0 -2),Mouser,a
188,./Images/a_188.png,0,a,a,(0 1),Mouser,a
189,./Images/a_189.png,0,a,a,(3 -5),Mouser,a
190,./Images/a_190.png,0,a,a,(3 -2),Mouser,a
191,./Images/a_191.png,0,a,a,(3 1),Mouser,a
192,./Images/a_192.png,0,a,a,(0 -5),Arial Bold,a
193,./Images/a_193.png,0,a,a,(0 -2),Arial Bold,a
194,./Images/a_194.png,0,a,a,(0 1),Arial Bold,a
195,./Images/a_195.png,0,a,a,(3 -5),Arial Bold,a
196,./Images/a_196.png,0,a,a,(3 -2),Arial Bold,a
197,./Images/a_197.png,0,a,a,(3 1),Arial Bold,a
198,./Images/a_198.png,0,a,a,(0 -5),8bitlim,a
199,./Images/a_199.png,0,a,a,(0 -2),8bitlim,a
200,./Images/a_200.png,0,a,a,(0 1),8bitlim,a
201,./Images/a_201.png,0,a,a,(3 -5),8bitlim,a
202,./Images/a_202.png,0,a,a,(3 -2),8bitlim,a
203,./Images/a_203.png,0,a,a,(3 1),8bitlim,a
204,./Images/a_204.png,0,a,a,(0 -5),Backpack_PersonalUse,g
205,./Images/a_205.png,0,a,a,(0 -2),Backpack_PersonalUse,g
206,./Images/a_206.png,0,a,a,(0 1),Backpack_PersonalUse,g
207,./Images/a_207.png,0,a,a,(3 -5),Backpack_PersonalUse,a
208,./Images/a_208.png,0,a,a,(3 -2),Backpack_PersonalUse,a
209,./Images/a_209.png,0,a,a,(3 1),Backpack_PersonalUse,a
210,./Images/a_210.png,0,a,a,(0 -5),ratio___,a
211,./Images/a_211.png,0,a,a,(0 -2),ratio___,a
212,./Images/a_212.png,0,a,a,(0 1),ratio___,e
213,./Images/a_213.png,0,a,a,(3 -5),ratio___,a
214,./Images/a_214.png,0,a,a,(3 -2),ratio___,a
215,./Images/a_215.png,0,a,a,(3 1),ratio___,a
216,./Images/a_216.png,0,a,a,(0 -5),HoneyScript-SemiBold,n
217,./Images/a_217.png,0,a,a,(0 -2),HoneyScript-SemiBold,x
218,./Images/a_218.png,0,a,a,(0 1),HoneyScript-SemiBold,n
219,./Images/a_219.png,0,a,a,(3 -5),HoneyScript-SemiBold,a
220,./Images/a_220.png,0,a,a,(3 -2),HoneyScript-SemiBold,a
221,./Images/a_221.png,0,a,a,(3 1),HoneyScript-SemiBold,n
222,./Images/a_222.png,0,a,a,(0 -5),Trebuchet MS,a
223,./Images/a_223.png,0,a,a,(0 -2),Trebuchet MS,a
224,./Images/a_224.png,0,a,a,(0 1),Trebuchet MS,a
225,./Images/a_225.png,0,a,a,(3 -5),Trebuchet MS,a
226,./Images/a_226.png,0,a,a,(3 -2),Trebuchet MS,a
227,./Images/a_227.png,0,a,a,(3 1),Trebuchet MS,a
228,./Images/a_228.png,0,a,a,(0 -5),libelsuit,a
229,./Images/a_229.png,0,a,a,(0 -2),libelsuit,a
230,./Images/a_230.png,0,a,a,(0 1),libelsuit,a
231,./Images/a_231.png,0,a,a,(3 -5),libelsuit,a
232,./Images/a_232.png,0,a,a,(3 -2),libelsuit,a
233,./Images/a_233.png,0,a,a,(3 1),libelsuit,a
234,./Images/a_234.png,0,a,a,(0 -5),bluebold,a
235,./Images/a_235.png,0,a,a,(0 -2),bluebold,a
236,./Images/a_236.png,0,a,a,(0 1),bluebold,a
237,./Images/a_237.png,0,a,a,(3 -5),bluebold,a
238,./Images/a_238.png,0,a,a,(3 -2),bluebold,a
239,./Images/a_239.png,0,a,a,(3 1),bluebold,a
240,./Images/a_240.png,0,a,a,(0 -5),Righteous-Regular,a
241,./Images/a_241.png,0,a,a,(0 -2),Righteous-Regular,a
242,./Images/a_242.png,0,a,a,(0 1),Righteous-Regular,g
243,./Images/a_243.png,0,a,a,(3 -5),Righteous-Regular,a
244,./Images/a_244.png,0,a,a,(3 -2),Righteous-Regular,q
245,./Images/a_245.png,0,a,a,(3 1),Righteous-Regular,q
246,./Images/a_246.png,0,a,a,(0 -5),corbel,a
247,./Images/a_247.png,0,a,a,(0 -2),corbel,a
248,./Images/a_248.png,0,a,a,(0 1),corbel,a
249,./Images/a_249.png,0,a,a,(3 -5),corbel,a
250,./Images/a_250.png,0,a,a,(3 -2),corbel,a
251,./Images/a_251.png,0,a,a,(3 1),corbel,a
252,./Images/a_252.png,0,a,a,(0 -5),Trattatello,a
253,./Images/a_253.png,0,a,a,(0 -2),Trattatello,a
254,./Images/a_254.png,0,a,a,(0 1),Trattatello,a
255,./Images/a_255.png,0,a,a,(3 -5),Trattatello,a
256,./Images/a_256.png,0,a,a,(3 -2),Trattatello,a
257,./Images/a_257.png,0,a,a,(3 1),Trattatello,a
258,./Images/a_258.png,0,a,a,(0 -5),BigCaslon,a
259,./Images/a_259.png,0,a,a,(0 -2),BigCaslon,a
260,./Images/a_260.png,0,a,a,(0 1),BigCaslon,a
261,./Images/a_261.png,0,a,a,(3 -5),BigCaslon,a
262,./Images/a_262.png,0,a,a,(3 -2),BigCaslon,a
263,./Images/a_263.png,0,a,a,(3 1),BigCaslon,a
264,./Images/a_264.png,0,a,a,(0 -5),Courier New Bold,a
265,./Images/a_265.png,0,a,a,(0 -2),Courier New Bold,a
266,./Images/a_266.png,0,a,a,(0 1),Courier New Bold,a
267,./Images/a_267.png,0,a,a,(3 -5),Courier New Bold,a
268,./Images/a_268.png,0,a,a,(3 -2),Courier New Bold,a
269,./Images/a_269.png,0,a,a,(3 1),Courier New Bold,a
270,./Images/a_270.png,0,a,a,(0 -5),Aileenation,a
271,./Images/a_271.png,0,a,a,(0 -2),Aileenation,a
272,./Images/a_272.png,0,a,a,(0 1),Aileenation,a
273,./Images/a_273.png,0,a,a,(3 -5),Aileenation,a
274,./Images/a_274.png,0,a,a,(3 -2),Aileenation,a
275,./Images/a_275.png,0,a,a,(3 1),Aileenation,a
276,./Images/a_276.png,0,a,a,(0 -5),pakenham,a
277,./Images/a_277.png,0,a,a,(0 -2),pakenham,a
278,./Images/a_278.png,0,a,a,(0 1),pakenham,a
279,./Images/a_279.png,0,a,a,(3 -5),pakenham,a
280,./Images/a_280.png,0,a,a,(3 -2),pakenham,a
281,./Images/a_281.png,0,a,a,(3 1),pakenham,a
282,./Images/a_282.png,0,a,a,(0 -5),Tall Films Expanded Oblique,a
283,./Images/a_283.png,0,a,a,(0 -2),Tall Films Expanded Oblique,a
284,./Images/a_284.png,0,a,a,(0 1),Tall Films Expanded Oblique,a
285,./Images/a_285.png,0,a,a,(3 -5),Tall Films Expanded Oblique,a
286,./Images/a_286.png,0,a,a,(3 -2),Tall Films Expanded Oblique,a
287,./Images/a_287.png,0,a,a,(3 1),Tall Films Expanded Oblique,a
288,./Images/a_288.png,0,a,a,(0 -5),Copper Canyon WBW,a
289,./Images/a_289.png,0,a,a,(0 -2),Copper Canyon WBW,a
290,./Images/a_290.png,0,a,a,(0 1),Copper Canyon WBW,a
291,./Images/a_291.png,0,a,a,(3 -5),Copper Canyon WBW,a
292,./Images/a_292.png,0,a,a,(3 -2),Copper Canyon WBW,a
293,./Images/a_293.png,0,a,a,(3 1),Copper Canyon WBW,a
294,./Images/a_294.png,0,a,a,(0 -5),Harabara,a
295,./Images/a_295.png,0,a,a,(0 -2),Harabara,a
296,./Images/a_296.png,0,a,a,(0 1),Harabara,a
297,./Images/a_297.png,0,a,a,(3 -5),Harabara,a
298,./Images/a_298.png,0,a,a,(3 -2),Harabara,a
299,./Images/a_299.png,0,a,a,(3 1),Harabara,a
300,./Images/a_300.png,0,a,a,(0 -5),verdanab,a
301,./Images/a_301.png,0,a,a,(0 -2),verdanab,a
302,./Images/a_302.png,0,a,a,(0 1),verdanab,a
303,./Images/a_303.png,0,a,a,(3 -5),verdanab,a
304,./Images/a_304.png,0,a,a,(3 -2),verdanab,a
305,./Images/a_305.png,0,a,a,(3 1),verdanab,a
306,./Images/a_306.png,0,a,a,(0 -5),webster,a
307,./Images/a_307.png,0,a,a,(0 -2),webster,a
308,./Images/a_308.png,0,a,a,(0 1),webster,a
309,./Images/a_309.png,0,a,a,(3 -5),webster,a
310,./Images/a_310.png,0,a,a,(3 -2),webster,a
311,./Images/a_311.png,0,a,a,(3 1),webster,a
312,./Images/a_312.png,0,a,a,(0 -5),Aliquamulti,a
313,./Images/a_313.png,0,a,a,(0 -2),Aliquamulti,a
314,./Images/a_314.png,0,a,a,(0 1),Aliquamulti,o
315,./Images/a_315.png,0,a,a,(3 -5),Aliquamulti,q
316,./Images/a_316.png,0,a,a,(3 -2),Aliquamulti,o
317,./Images/a_317.png,0,a,a,(3 1),Aliquamulti,c
318,./Images/a_318.png,0,a,a,(0 -5),Gotham Nights,a
319,./Images/a_319.png,0,a,a,(0 -2),Gotham Nights,a
320,./Images/a_320.png,0,a,a,(0 1),Gotham Nights,a
321,./Images/a_321.png,0,a,a,(3 -5),Gotham Nights,a
322,./Images/a_322.png,0,a,a,(3 -2),Gotham Nights,a
323,./Images/a_323.png,0,a,a,(3 1),Gotham Nights,a
324,./Images/a_324.png,0,a,a,(0 -5),Deadly Inked,a
325,./Images/a_325.png,0,a,a,(0 -2),Deadly Inked,g
326,./Images/a_326.png,0,a,a,(0 1),Deadly Inked,q
327,./Images/a_327.png,0,a,a,(3 -5),Deadly Inked,a
328,./Images/a_328.png,0,a,a,(3 -2),Deadly Inked,a
329,./Images/a_329.png,0,a,a,(3 1),Deadly Inked,q
330,./Images/a_330.png,0,a,a,(0 -5),Lao Sangam MN,a
331,./Images/a_331.png,0,a,a,(0 -2),Lao Sangam MN,a
332,./Images/a_332.png,0,a,a,(0 1),Lao Sangam MN,a
333,./Images/a_333.png,0,a,a,(3 -5),Lao Sangam MN,a
334,./Images/a_334.png,0,a,a,(3 -2),Lao Sangam MN,a
335,./Images/a_335.png,0,a,a,(3 1),Lao Sangam MN,a
336,./Images/a_336.png,0,a,a,(0 -5),Luminari,a
337,./Images/a_337.png,0,a,a,(0 -2),Luminari,a
338,./Images/a_338.png,0,a,a,(0 1),Luminari,a
339,./Images/a_339.png,0,a,a,(3 -5),Luminari,a
340,./Images/a_340.png,0,a,a,(3 -2),Luminari,a
341,./Images/a_341.png,0,a,a,(3 1),Luminari,a
342,./Images/a_342.png,0,a,a,(0 -5),Times New Roman,a
343,./Images/a_343.png,0,a,a,(0 -2),Times New Roman,a
344,./Images/a_344.png,0,a,a,(0 1),Times New Roman,a
345,./Images/a_345.png,0,a,a,(3 -5),Times New Roman,a
346,./Images/a_346.png,0,a,a,(3 -2),Times New Roman,a
347,./Images/a_347.png,0,a,a,(3 1),Times New Roman,a
348,./Images/a_348.png,0,a,a,(0 -5),Brush Script,a
349,./Images/a_349.png,0,a,a,(0 -2),Brush Script,a
350,./Images/a_350.png,0,a,a,(0 1),Brush Script,a
351,./Images/a_351.png,0,a,a,(3 -5),Brush Script,a
352,./Images/a_352.png,0,a,a,(3 -2),Brush Script,a
353,./Images/a_353.png,0,a,a,(3 1),Brush Script,a
354,./Images/a_354.png,0,a,a,(0 -5),Georgia Italic,a
355,./Images/a_355.png,0,a,a,(0 -2),Georgia Italic,a
356,./Images/a_356.png,0,a,a,(0 1),Georgia Italic,q
357,./Images/a_357.png,0,a,a,(3 -5),Georgia Italic,q
358,./Images/a_358.png,0,a,a,(3 -2),Georgia Italic,a
359,./Images/a_359.png,0,a,a,(3 1),Georgia Italic,o
360,./Images/a_360.png,0,a,a,(0 -5),Courier New Italic,a
361,./Images/a_361.png,0,a,a,(0 -2),Courier New Italic,a
362,./Images/a_362.png,0,a,a,(0 1),Courier New Italic,a
363,./Images/a_363.png,0,a,a,(3 -5),Courier New Italic,a
364,./Images/a_364.png,0,a,a,(3 -2),Courier New Italic,a
365,./Images/a_365.png,0,a,a,(3 1),Courier New Italic,a
366,./Images/a_366.png,0,a,a,(0 -5),Arial Unicode,a
367,./Images/a_367.png,0,a,a,(0 -2),Arial Unicode,a
368,./Images/a_368.png,0,a,a,(0 1),Arial Unicode,a
369,./Images/a_369.png,0,a,a,(3 -5),Arial Unicode,a
370,./Images/a_370.png,0,a,a,(3 -2),Arial Unicode,a
371,./Images/a_371.png,0,a,a,(3 1),Arial Unicode,a
372,./Images/a_372.png,0,a,a,(0 -5),Slimania Bold,g
373,./Images/a_373.png,0,a,a,(0 -2),Slimania Bold,g
374,./Images/a_374.png,0,a,a,(0 1),Slimania Bold,q
375,./Images/a_375.png,0,a,a,(3 -5),Slimania Bold,o
376,./Images/a_376.png,0,a,a,(3 -2),Slimania Bold,q
377,./Images/a_377.png,0,a,a,(3 1),Slimania Bold,q
378,./Images/a_378.png,0,a,a,(0 -5),Chalkduster,a
379,./Images/a_379.png,0,a,a,(0 -2),Chalkduster,a
380,./Images/a_380.png,0,a,a,(0 1),Chalkduster,a
381,./Images/a_381.png,0,a,a,(3 -5),Chalkduster,o
382,./Images/a_382.png,0,a,a,(3 -2),Chalkduster,a
383,./Images/a_383.png,0,a,a,(3 1),Chalkduster,a
384,./Images/a_384.png,0,a,a,(0 -5),Apple Chancery,a
385,./Images/a_385.png,0,a,a,(0 -2),Apple Chancery,a
386,./Images/a_386.png,0,a,a,(0 1),Apple Chancery,a
387,./Images/a_387.png,0,a,a,(3 -5),Apple Chancery,a
388,./Images/a_388.png,0,a,a,(3 -2),Apple Chancery,a
389,./Images/a_389.png,0,a,a,(3 1),Apple Chancery,a
390,./Images/a_390.png,0,a,a,(0 -5),AppleMyungjo,a
391,./Images/a_391.png,0,a,a,(0 -2),AppleMyungjo,a
392,./Images/a_392.png,0,a,a,(0 1),AppleMyungjo,a
393,./Images/a_393.png,0,a,a,(3 -5),AppleMyungjo,a
394,./Images/a_394.png,0,a,a,(3 -2),AppleMyungjo,a
395,./Images/a_395.png,0,a,a,(3 1),AppleMyungjo,a
396,./Images/a_396.png,0,a,a,(0 -5),yonder,a
397,./Images/a_397.png,0,a,a,(0 -2),yonder,a
398,./Images/a_398.png,0,a,a,(0 1),yonder,a
399,./Images/a_399.png,0,a,a,(3 -5),yonder,a
400,./Images/a_400.png,0,a,a,(3 -2),yonder,a
401,./Images/a_401.png,0,a,a,(3 1),yonder,a
402,./Images/a_402.png,0,a,a,(0 -5),corbelb,a
403,./Images/a_403.png,0,a,a,(0 -2),corbelb,a
404,./Images/a_404.png,0,a,a,(0 1),corbelb,a
405,./Images/a_405.png,0,a,a,(3 -5),corbelb,a
406,./Images/a_406.png,0,a,a,(3 -2),corbelb,a
407,./Images/a_407.png,0,a,a,(3 1),corbelb,a
408,./Images/a_408.png,0,a,a,(0 -5),zephyrea,a
409,./Images/a_409.png,0,a,a,(0 -2),zephyrea,a
410,./Images/a_410.png,0,a,a,(0 1),zephyrea,a
411,./Images/a_411.png,0,a,a,(3 -5),zephyrea,a
412,./Images/a_412.png,0,a,a,(3 -2),zephyrea,a
413,./Images/a_413.png,0,a,a,(3 1),zephyrea,a
414,./Images/a_414.png,0,a,a,(0 -5),SF Old Republic Bold,a
415,./Images/a_415.png,0,a,a,(0 -2),SF Old Republic Bold,a
